Timestamp,X_mG,Y_mG,Z_mG
1775850850.437,-32891.60,-32957.90,-31985.65
1775850850.454,-32891.60,-32957.90,-31985.65
1775850850.468,-32891.60,-32957.90,-31985.65
1775850850.481,-32891.60,-32957.90,-31985.65
1775850850.493,-32891.60,-32957.90,-31985.65
1775850850.503,-32891.60,-32957.90,-31985.65
1775850850.525,-32891.60,-32957.90,-31985.65
1775850850.533,-32891.60,-32957.90,-31985.65
1775850850.551,-32891.60,-32957.90,-31985.65
1775850850.568,-32891.60,-32957.90,-31985.65
1775850850.587,-32891.60,-32957.90,-31985.65
1775850850.593,-32891.60,-32957.90,-31985.65
1775850850.612,-32891.60,-32957.90,-31985.65
1775850850.633,-32891.60,-32957.90,-31985.65
1775850850.652,-32891.60,-32957.90,-31985.65
1775850850.657,-32891.60,-32957.90,-31985.65
1775850850.675,-32891.60,-32957.90,-31985.65
1775850850.706,-32891.60,-32957.90,-31985.65
1775850850.719,-32891.60,-32957.90,-31985.65
1775850850.721,-32891.60,-32957.90,-31985.65
1775850850.755,-32891.60,-32957.90,-31985.65
1775850850.769,-32891.60,-32957.90,-31985.65
1775850850.785,-32891.60,-32957.90,-31985.65
1775850850.793,-32891.60,-32957.90,-31985.65
1775850850.801,-32891.60,-32957.90,-31985.65
1775850850.840,-32891.60,-32957.90,-31985.65
1775850850.850,-32891.60,-32957.90,-31985.65
1775850850.865,-32891.60,-32957.90,-31985.65
1775850850.882,-32891.60,-32957.90,-31985.65
1775850850.895,-32891.60,-32957.90,-31985.65
1775850850.909,-32891.60,-32957.90,-31985.65
1775850850.911,-32891.60,-32957.90,-31985.65
1775850850.947,-32891.60,-32957.90,-31985.65
1775850850.961,-32891.60,-32957.90,-31985.65
1775850850.975,-32891.60,-32957.90,-31985.65
1775850850.975,-32891.60,-32957.90,-31985.65
1775850851.009,-32891.60,-32957.90,-31985.65
1775850851.030,-32891.60,-32957.90,-31985.65
1775850851.039,-32891.60,-32957.90,-31985.65
1775850851.055,-32891.60,-32957.90,-31985.65
1775850851.075,-32891.60,-32957.90,-31985.65
1775850851.089,-32891.60,-32957.90,-31985.65
1775850851.103,-32891.60,-32957.90,-31985.65
1775850851.114,-32891.60,-32957.90,-31985.65
1775850851.120,-32891.60,-32957.90,-31985.65
1775850851.150,-32891.60,-32957.90,-31985.65
1775850851.153,-32891.60,-32957.90,-31985.65
1775850851.182,-32891.60,-32957.90,-31985.65
1775850851.199,-32891.60,-32957.90,-31985.65
1775850851.217,-32891.60,-32957.90,-31985.65
1775850851.230,-32891.60,-32957.90,-31985.65
1775850851.230,-32891.60,-32957.90,-31985.65
1775850851.263,-32891.60,-32957.90,-31985.65
1775850851.284,-32891.60,-32957.90,-31985.65
1775850851.294,-32891.60,-32957.90,-31985.65
1775850851.310,-32891.60,-32957.90,-31985.65
1775850851.347,-32891.60,-32957.90,-31985.65
1775850851.362,-32891.60,-32957.90,-31985.65
1775850851.373,-32891.60,-32957.90,-31985.65
1775850851.390,-32891.60,-32957.90,-31985.65
1775850851.394,-32891.60,-32957.90,-31985.65
1775850851.421,-32891.60,-32957.90,-31985.65
1775850851.439,-32891.60,-32957.90,-31985.65
1775850851.453,-32891.60,-32957.90,-31985.65
1775850851.463,-32891.60,-32957.90,-31985.65
1775850851.481,-32891.60,-32957.90,-31985.65
1775850851.494,-32891.60,-32957.90,-31985.65
1775850851.500,-32891.60,-32957.90,-31985.65
